Sr No.,Utterance,Emotion,Sentiment,labels
734,Lucky sixes....,neutral,neutral,['Calm']
735,"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",neutral,neutral,['Calm']
736,Hi!,neutral,neutral,['Calm']
737,And Joey....,neutral,neutral,['Calm']
738,Hi!,neutral,neutral,['Calm']
739,And Ross.,neutral,neutral,['Calm']
740,Hi!,neutral,neutral,['Calm']
741,He doesn't speak much English.,neutral,neutral,['Calm']
742,Look at that!,surprise,positive,"['Urgency', 'Anxiety']"
743,"So, um... where did Paolo come from?",neutral,neutral,['Calm']
744,"Oh... Italy, I think.",neutral,neutral,['Calm']
745,"No, I mean tonight, in the building. Suddenly. Into our lives.",neutral,neutral,['Calm']
746,"Well, the cat... the cat turned out to be Paolo's cat!",neutral,neutral,['Calm']
747,"That, that is funny... .... and Rachel keeps touching him.",neutral,neutral,['Calm']
748,Alright. I looked all over the building and I couldn't find the kitty anywhere.,neutral,neutral,['Calm']
749,"Oh, I found him. He was Paolo's cat.",neutral,neutral,['Calm']
750,Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,joy,positive,['Calm']
751,"Ah, Paolo, this is Phoebe.",neutral,neutral,['Calm']
752,You betcha!,joy,positive,['Calm']
753,"Okay, where in the hell did you get that?!",surprise,negative,"['Urgency', 'Anxiety']"
754,"When Mom and Dad drove you to the hospital to get your nose fixed, I swam into the lake and fished it out.",neutral,neutral,['Calm']
755,That cup is mine!,anger,negative,"['Aggression', 'Coercion']"
756,"No its not! You want it, youre gonna have to win it!",anger,negative,"['Aggression', 'Coercion']"
757,"All right, so are we not having dinner at all?",sadness,negative,"['Distress', 'Helplessness']"
758,Why?,sadness,negative,"['Distress', 'Helplessness']"
759,Because I don't work at the Szechwan Dragon.,neutral,neutral,['Calm']
761,"You really, really need to get some sleep, honey.",neutral,neutral,['Calm']
762,I know I do.,neutral,neutral,['Calm']
763,Hi.,neutral,neutral,['Calm']
764,Hi.,neutral,neutral,['Calm']
765,Guess what?,neutral,neutral,['Calm']
767,They published my paper.,joy,positive,['Calm']
768,"Oh, really, let me see, let me see.",joy,positive,['Calm']
769,"Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me.  There he is.",joy,positive,['Calm']
771,"You know what this is, this is us getting ready for the prom.",neutral,neutral,['Calm']
772,Oh.,neutral,neutral,['Calm']
773,What?! You got us evicted!!,anger,negative,"['Aggression', 'Coercion']"
774,I told you not to go down there!,anger,negative,"['Aggression', 'Coercion']"
775,Well he made Rachel cry!,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
776,Rachel always cries!,anger,negative,"['Aggression', 'Coercion']"
777,Thats not true!,anger,negative,"['Aggression', 'Coercion']"
778,"Now Joey, you go down there and you suck up to him. I mean you suck like youve never sucked before!",neutral,neutral,['Calm']
779,"All right! Ill try! But if I cant, you can stay with Chandler and I until you get settled.",neutral,neutral,['Calm']
780,Go!!,anger,negative,"['Aggression', 'Coercion']"
781,"All right, all right, all right.",neutral,neutral,['Calm']
782,"I mean Ill have to check with him first, but Ill think hell be cool with it.",neutral,neutral,['Calm']
783,"So, hes just a nice guy. You really think this Mark doesnt want anything in exchange for helping him?",joy,positive,['Calm']
784,"Well, I assume Ill have to take showers with him, but y'know, thats true of any job.",neutral,neutral,['Calm']
785,How ya feelin?,neutral,neutral,['Calm']
786,"Well, my apartment isnt there anymore, because I drank it.",neutral,neutral,['Calm']
787,Whered you get too? We lost you after you opened up all the presents.,neutral,neutral,['Calm']
788,Yeah.,neutral,neutral,['Calm']
789,"Yeah, I ended up in the storage room, and not alone.",neutral,neutral,['Calm']
790,Woooo hoooo!!!,joy,positive,['Calm']
791,"Ow, no woo-hooing, no woo-hooing.",anger,negative,"['Aggression', 'Coercion']"
792,"Why, what happened?",surprise,negative,"['Urgency', 'Anxiety']"
793,"Ah, I fooled around with Joeys sister.  Well, thats not the worst part.",sadness,negative,"['Distress', 'Helplessness']"
794,What is the worse part?,neutral,neutral,['Calm']
795,I cant remember which sister.,sadness,negative,"['Distress', 'Helplessness']"
796,You see what men do! Dont tell me men are not nice!  This is men!!,anger,negative,"['Aggression', 'Coercion']"
797,Whats wrong with you?,anger,negative,"['Aggression', 'Coercion']"
798,Nothing!,anger,negative,"['Aggression', 'Coercion']"
799,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",sadness,negative,"['Distress', 'Helplessness']"
800,"But um, I dont think its anything serious.",neutral,neutral,['Calm']
801,This sounds like a hernia. You have toyou-youGo to the doctor!,surprise,negative,"['Urgency', 'Anxiety']"
802,No way!,anger,negative,"['Aggression', 'Coercion']"
803,"Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",anger,negative,"['Aggression', 'Coercion']"
804,Why did I have to start working out again?,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
805,Damn you 15s!,anger,negative,"['Aggression', 'Coercion']"
806,Its a trifle.,neutral,neutral,['Calm']
807,Its got all of these layers.,neutral,neutral,['Calm']
808,"First theres a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch.",neutral,neutral,['Calm']
809,"[Joey and Ross make impressed faces] Then raspberries, more ladyfingers, then beef sautéed with peas and onions, [Joey and Ross look like somethings wrong.]",neutral,neutral,['Calm']
810,"then a little more custard, and then bananas, and then I just put some whipped cream on top!",neutral,neutral,['Calm']
811,It tastes like feet!,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
812,I like it.,joy,positive,['Calm']
813,Are you kidding?,surprise,negative,"['Urgency', 'Anxiety']"
814,Does anyone else think David Copperfield is cute?,neutral,neutral,['Calm']
815,"No, but he told me, he thinks your a fox.",neutral,neutral,['Calm']
816,"Welcome everybody, welcome to Amazing Discoveries!",joy,positive,['Calm']
817,"Oh, oh! It's on again!",joy,positive,['Calm']
818,"You guys, can we please not watch this all right.",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
819,Shhhh!,anger,negative,"['Aggression', 'Coercion']"
820,"Folks, has this ever happened to you.",neutral,neutral,['Calm']
821,"You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",neutral,neutral,['Calm']
822,"Oh, you said it Mike.  Aw! There's got to be a better way!",anger,negative,"['Aggression', 'Coercion']"
823,And there is Kevin.,neutral,neutral,['Calm']
824,Can we please turn this off?,sadness,negative,"['Distress', 'Helplessness']"
825,"Noo way, Kevin.",joy,positive,['Calm']
826,There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,neutral,['Calm']
827,Are you intrigued?,surprise,positive,"['Urgency', 'Anxiety']"
828,You're flingin'-flangin' right I am!,joy,positive,['Calm']
829,"Keep in mind, he's never used this product before, you're gonna see how easy this is to do.",neutral,neutral,['Calm']
830,Go ahead.,neutral,neutral,['Calm']
831,This works with any milk carton.,neutral,neutral,['Calm']
832,"Wow, it is easy.  Now, I can have milk everyday.",surprise,positive,"['Urgency', 'Anxiety']"
833,"Well, you might want to tell him it sounds like his wife is  gay.",neutral,neutral,['Calm']
834,She is not  Shes gay. Oh my God. She is,anger,negative,"['Aggression', 'Coercion']"
835,Good day for married people huh?,surprise,negative,"['Urgency', 'Anxiety']"
836,Im sorry your husband cheated on you.,sadness,negative,"['Distress', 'Helplessness']"
837,Im sorry your wife is gay. I guess women arent that great either.,sadness,negative,"['Distress', 'Helplessness']"
838,Try telling my wife that.,sadness,negative,"['Distress', 'Helplessness']"
839,"Hey Ross, will you pass me that knife?",neutral,neutral,['Calm']
840,I can't wait to be with you!,joy,positive,['Calm']
841,I'll sneak over as soon as Ross picks up Ben.,neutral,neutral,['Calm']
842,I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,neutral,neutral,['Calm']
843,Laundry. Huh. Is that my new nickname?,joy,positive,['Calm']
844,"Awww, y'know what your nickname is, Mr. Big",joy,positive,['Calm']
845,Arghh!!,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
846,I cant believe Im going to lose this job!,sadness,negative,"['Distress', 'Helplessness']"
847,Oh Im so sorry man! Is there anything I can do?,sadness,negative,"['Distress', 'Helplessness']"
848,Yeah! Help me get this mini-fridge past the security guard.,neutral,neutral,['Calm']
849,"Hey Joey, I want to talk to you.",neutral,neutral,['Calm']
850,Yeah?,neutral,neutral,['Calm']
854,"Oh, Chandler, Wayne.",neutral,neutral,['Calm']
855,"Wayne, Chandler.",neutral,neutral,['Calm']
856,"Hi, how are ya?",neutral,neutral,['Calm']
857,"Joey, Joey, I-I-Ill g-get you your job back if you help me out.",neutral,neutral,['Calm']
858,Why should I help you?!,anger,negative,"['Aggression', 'Coercion']"
859,The reason he just said.,neutral,neutral,['Calm']
860,What do you need?,neutral,neutral,['Calm']
861,"I-I-I saw you on stage talking to that beautiful woman, yknow Sarah?",neutral,neutral,['Calm']
862,What?,surprise,negative,"['Urgency', 'Anxiety']"
863,And I too am just a love machine.,neutral,neutral,['Calm']
864,"Ross, let me show you where the guest room is.",neutral,neutral,['Calm']
865,"Oh, I thought this was your party and it turns out its a party for Howard. He's just the sweetest little man!",surprise,positive,"['Urgency', 'Anxiety']"
866,"See ya Phoebe! Oh and hey, thanks for chipping in!",joy,positive,['Calm']
867,You chipped in?!,surprise,positive,"['Urgency', 'Anxiety']"
868,"Yeah, uh-huh, a 100 dollars.",neutral,neutral,['Calm']
869,Phoebe! I can't believe you gave them money! I thought you agreed it was totally unreasonable that they asked me for that money!,surprise,negative,"['Urgency', 'Anxiety']"
870,"Yeah, but they didn't ask me!",anger,negative,"['Aggression', 'Coercion']"
871,Y'know?,neutral,neutral,['Calm']
872,"This way I'm just y'know, the exotic, generous stranger.",joy,positive,['Calm']
873,That's always fun to be.,joy,positive,['Calm']
874,"Yeah, but you're making me look bad!",anger,negative,"['Aggression', 'Coercion']"
875,No I'm not.,neutral,neutral,['Calm']
876,No!,surprise,positive,"['Urgency', 'Anxiety']"
877,If anything I'm making you look better!,joy,positive,['Calm']
878,They'll see you talking to me and that's--I'm a hit!,joy,positive,['Calm']
879,"Oh hey, Pheebs!",joy,positive,['Calm']
880,Hey!,joy,positive,['Calm']
881,"Oh hey, Ross.",neutral,neutral,['Calm']
882,"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",fear,negative,"['Fear', 'Panic', 'Anxiety']"
883,Something to think about.,neutral,neutral,['Calm']
884,"Yeah, okay, my bad.",joy,positive,['Calm']
886,Here. I need to borrow some moisturizer.,neutral,neutral,['Calm']
887,For what?,neutral,neutral,['Calm']
888,Whaddya think? Today's the big day!,joy,positive,['Calm']
889,"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
890,Thank you!,joy,positive,['Calm']
891,Where's Joey? His mom's on the phone.,neutral,neutral,['Calm']
892,He's in the bathroom. I don't think you wanna go in there!,anger,negative,"['Aggression', 'Coercion']"
893,"C'mon, we're roommates!  My eyes!! My eyes!!",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
894,I warned you...,neutral,neutral,['Calm']
895,Who is being loud?,anger,negative,"['Aggression', 'Coercion']"
896,"Oh, that would be Monica.",neutral,neutral,['Calm']
897,"Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.",neutral,neutral,['Calm']
898,"Oh, you got the whole night, huh?",surprise,positive,"['Urgency', 'Anxiety']"
899,"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",neutral,neutral,['Calm']
900,"Ooh, do I sense a little bit of resentment?",surprise,negative,"['Urgency', 'Anxiety']"
901,"No, no resentment, believe me, it's worth it.",neutral,neutral,['Calm']
902,'Kay?,neutral,neutral,['Calm']
903,Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life?,neutral,neutral,['Calm']
904,"Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?",neutral,neutral,['Calm']
906,"Oh, um, Chandler?",neutral,neutral,['Calm']
907,"Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.",neutral,neutral,['Calm']
908,"Hey Monica, it's Joey!",joy,positive,['Calm']
909,"Hey Joey! Aww, you remembered even though you're a big star!",joy,positive,['Calm']
910,"Aw, come on! It'll be years before I forget you!",neutral,neutral,['Calm']
911,"Joey, what's it like on a movie set, huh?",neutral,neutral,['Calm']
912,Do you have a dressing room?,neutral,neutral,['Calm']
913,Do you have a chair with your name on it?,neutral,neutral,['Calm']
914,"Uh, well yeah-yeah, I've got all of that going on.",neutral,neutral,['Calm']
915,"Yeah, listen uh, I want you to make sure you tell Chandler that he couldn't have been more wrong!",neutral,neutral,['Calm']
916,Uh-oh!,fear,negative,"['Fear', 'Panic', 'Anxiety']"
917,"I gotta go Monica, my uh, my sushi's here!",neutral,neutral,['Calm']
918,Sorry about that. Thanks for waitin'.,neutral,neutral,['Calm']
919,"Everybody smile!  Okay, thanks a lot! Enjoy your stay at",joy,positive,['Calm']
920,"Wow, this is so cool, you guys. The entire city is blacked out!",surprise,positive,"['Urgency', 'Anxiety']"
921,"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",anger,negative,"['Aggression', 'Coercion']"
922,"Wow, you guys, this is big.",surprise,positive,"['Urgency', 'Anxiety']"
923,Pants and a sweater?,anger,negative,"['Aggression', 'Coercion']"
924,"Why, mom?",anger,negative,"['Aggression', 'Coercion']"
925,Who am I gonna meet in a blackout?,anger,negative,"['Aggression', 'Coercion']"
926,Power company guys?,anger,negative,"['Aggression', 'Coercion']"
927,Eligible looters?,anger,negative,"['Aggression', 'Coercion']"
928,Could we talk about this later?,anger,negative,"['Aggression', 'Coercion']"
929,OK.,neutral,neutral,['Calm']
930,Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?,neutral,neutral,['Calm']
931,"Well, I never call",neutral,neutral,['Calm']
932,What cha doing?,neutral,neutral,['Calm']
933,Having a swim.,neutral,neutral,['Calm']
934,What about the chick?,neutral,neutral,['Calm']
935,Chicks dont swim.,neutral,neutral,['Calm']
936,Are you sure?,neutral,neutral,['Calm']
937,I dont know. Should we try it?,neutral,neutral,['Calm']
938,Sure.,neutral,neutral,['Calm']
939,"See, I told you they dont swim.",neutral,neutral,['Calm']
940,Wait. Give him a minute.,neutral,neutral,['Calm']
941,"Noo!  Oh, its okay, its okay, baby, baby, baby.",fear,negative,"['Fear', 'Panic', 'Anxiety']"
942,"Me taking care of you is no problem, huh?",neutral,neutral,['Calm']
943,You guys feel safe.,neutral,neutral,['Calm']
944,Right?,neutral,neutral,['Calm']
945,"Okay, Im gonna take that spit bubble as, ""Yeah, I do!""",neutral,neutral,['Calm']
946,"Okay, after I get rid of this dirty diaper Leslie, Ill set you up with a clean one.",neutral,neutral,['Calm']
947,"Okay, Im sorry.",sadness,negative,"['Distress', 'Helplessness']"
948,I didnt mean to scare you.,sadness,negative,"['Distress', 'Helplessness']"
949,I just have to clean that up.,neutral,neutral,['Calm']
950,Okay?,neutral,neutral,['Calm']
951,"Cause lets face it, were at Monicas.",neutral,neutral,['Calm']
952,I broke it.,sadness,negative,"['Distress', 'Helplessness']"
953,All right.,neutral,neutral,['Calm']
954,"Well, thats just the way that goes.",neutral,neutral,['Calm']
955,"Okay, good.",neutral,neutral,['Calm']
956,Why are there only two of you?,fear,negative,"['Fear', 'Panic', 'Anxiety']"
957,Where is Leslie?,fear,negative,"['Fear', 'Panic', 'Anxiety']"
958,"Well, you cant answer.",neutral,neutral,['Calm']
959,Leslie?,neutral,neutral,['Calm']
960,Where are you Leslie?,fear,negative,"['Fear', 'Panic', 'Anxiety']"
961,"Leslie, now would be a",sadness,negative,"['Distress', 'Helplessness']"
962,Hey!,joy,positive,['Calm']
963,Hey.,neutral,neutral,['Calm']
964,"Hey, why are you mopping your ceiling?",sadness,negative,"['Distress', 'Helplessness']"
965,"Oh, theres banana on it.",neutral,neutral,['Calm']
966,You said she was bald.,anger,negative,"['Aggression', 'Coercion']"
967,"Yeah, she was bald, shes not now.",neutral,neutral,['Calm']
968,How could you not tell me that she has hair?,surprise,negative,"['Urgency', 'Anxiety']"
969,"I dont know, I hardly ever say that about people.",neutral,neutral,['Calm']
970,"Ohh, well, this is just perfect!",anger,negative,"['Aggression', 'Coercion']"
971,"Well Im sorry, I thought you said it was okay.",sadness,negative,"['Distress', 'Helplessness']"
972,"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger,negative,"['Aggression', 'Coercion']"
973,"Well, maybe it wont work out. Maybe Ross wont like her personality.",sadness,negative,"['Distress', 'Helplessness']"
974,"Why, does she have a bad personality?",neutral,neutral,['Calm']
975,"Oh no, Bonnies the best!",joy,positive,['Calm']
976,Hey!,joy,positive,['Calm']
977,Hey.,neutral,neutral,['Calm']
978,"Do you have a minute? Id like to talk to you about something Im, Im really uncomfortable talking about.",fear,negative,"['Fear', 'Panic', 'Anxiety']"
979,"Sure. What? About uh, you showering with your mom?",surprise,negative,"['Urgency', 'Anxiety']"
980,"I actually had a topic in mind! Im, Im kinda going through a dry spell, sex wise.",anger,negative,"['Aggression', 'Coercion']"
981,"Whoa, for like months?",surprise,positive,"['Urgency', 'Anxiety']"
982,"Excellent! Excellent! And uh, finally, are you into any weird stuff yknow, sexually?",joy,positive,['Calm']
983,No!,surprise,negative,"['Urgency', 'Anxiety']"
984,"Oooh, wrong answer.",neutral,neutral,['Calm']
985,"Ow! My ass. Okay. Okay.  Oh, shhh!",anger,negative,"['Aggression', 'Coercion']"
986,No! No!! Its me! Its me! I-I didnt want to make any noise!,fear,negative,"['Fear', 'Panic', 'Anxiety']"
987,Then don't break in!!,anger,negative,"['Aggression', 'Coercion']"
988,"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger,negative,"['Aggression', 'Coercion']"
989,I have the lung capacity of a two year old.,neutral,neutral,['Calm']
990,Then why are you smoking?,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
991,Well its very unsettling.,sadness,negative,"['Distress', 'Helplessness']"
992,"Honey, I was wondering....",neutral,neutral,['Calm']
993,Hmm?,neutral,neutral,['Calm']
994,"Do you still have that, um, Navy uniform?",joy,positive,['Calm']
995,"Nooo, I had to return it to the costume place.",sadness,negative,"['Distress', 'Helplessness']"
996,Hmm.,neutral,neutral,['Calm']
997,I think I have an old band uniform from high school.,joy,positive,['Calm']
998,"You remember not having sex in high school, right?",sadness,negative,"['Distress', 'Helplessness']"
999,Yeah.,sadness,negative,"['Distress', 'Helplessness']"
1000,"Well honey, what about you?",neutral,neutral,['Calm']
1001,What?,neutral,neutral,['Calm']
1002,"I mean do you have any fun, you know, fantasy type things?",neutral,neutral,['Calm']
1003,No.,neutral,neutral,['Calm']
1004,Come on you gotta have one!,surprise,positive,"['Urgency', 'Anxiety']"
1005,Ugh!,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
1008,"I mean if you buy a bed from Janices ex-husband, thats like betraying Chandler.",anger,negative,"['Aggression', 'Coercion']"
1009,Not at these prices.,anger,negative,"['Aggression', 'Coercion']"
1010,Hi. Y'know in England this car would be on the other side of the store.  Woo!,joy,positive,['Calm']
1011,"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",joy,positive,['Calm']
1012,"Eh, Monica it, it feels so weird, y'know, Chandlers your friend...  Oh!",surprise,positive,"['Urgency', 'Anxiety']"
1013,Oh my God!,surprise,positive,"['Urgency', 'Anxiety']"
1014,"Aw, all right take this bed, you can make other friends.",joy,positive,['Calm']
1015,"You know, ever since I was little, I've been able to pick up quarters with my toes.",joy,positive,['Calm']
1016,"Good for you.  Uh, quarters or rolls of quarters?",joy,positive,['Calm']
1017,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",anger,negative,"['Aggression', 'Coercion']"
1018,That's OK.,neutral,neutral,['Calm']
1019,"Oh, are you sure?",surprise,positive,"['Urgency', 'Anxiety']"
1021,"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger,negative,"['Aggression', 'Coercion']"
1022,We can't do that.,neutral,neutral,['Calm']
1023,What? What can't you do?,surprise,negative,"['Urgency', 'Anxiety']"
1024,She really said that?,surprise,positive,"['Urgency', 'Anxiety']"
1025,"Well, I added the 'exactly like me' part...",neutral,neutral,['Calm']
1026,"But she said she's looking for someone, and someone is gonna be there tonight.",neutral,neutral,['Calm']
1027,'Tonight' tonight?,surprise,positive,"['Urgency', 'Anxiety']"
1028,"Well, I think it's perfect.",joy,positive,['Calm']
1029,"Y'know, it's just gonna be the two of us, she spent all day taking care of my monkey...",neutral,neutral,['Calm']
1030,I can't remember the last time I got a girl to take care of my monkey.,sadness,negative,"['Distress', 'Helplessness']"
1031,"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.",joy,positive,['Calm']
1032,"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
1033,"Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?",neutral,neutral,['Calm']
1034,"No, just knowing you're gonna be there is enough.",neutral,neutral,['Calm']
1035,"Alright, well, be good, I love you.",joy,positive,['Calm']
1036,You kissed my best Ross! ...Or something to that effect.,anger,negative,"['Aggression', 'Coercion']"
1037,"O-kay. Look, it, it was stupid.",sadness,negative,"['Distress', 'Helplessness']"
1038,Really stupid.,anger,negative,"['Aggression', 'Coercion']"
1039,Really stupid.,sadness,negative,"['Distress', 'Helplessness']"
1040,And I don't even know how it happened.,sadness,negative,"['Distress', 'Helplessness']"
1041,"I'm sorry, honey, I promise it will never happen again.",sadness,negative,"['Distress', 'Helplessness']"
1042,Are we okay now?,fear,negative,"['Fear', 'Panic', 'Anxiety']"
1043,Yeah. No. No...,anger,negative,"['Aggression', 'Coercion']"
1044,"Ah, the forbidden love of a man and his door.",neutral,neutral,['Calm']
1045,"Shh. He did it. He told her off, and not just about the kiss, about everything.",neutral,neutral,['Calm']
1046,You're kidding.,surprise,negative,"['Urgency', 'Anxiety']"
1047,"No, no. He said ""When are you gonna grow up and start being a mom?""",neutral,neutral,['Calm']
1048,Oh there it is.,neutral,neutral,['Calm']
1049,Thats not your regular dry cleaners.,neutral,neutral,['Calm']
1050,"I know, but that creep that I went on that date with goes to there so I have to find a new one.",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
1051,"I also have to find a new video store, a new bank, a new adult bookstore, a new grocery store",disgust,negative,"['Aggression', 'Distress', 'Coercion']"
1052,What?!,surprise,negative,"['Urgency', 'Anxiety']"
1053,A new grocery store.,neutral,neutral,['Calm']
1054,The universe said I was going to meet a nice guy and thats what they gave me?,anger,negative,"['Aggression', 'Coercion']"
1055,When I get up there Im going to kick some ass.,anger,negative,"['Aggression', 'Coercion']"
1056,"Dont worry Phoebe, youre gonna meet someone. If I can meet a great guy, so can you.",neutral,neutral,['Calm']
1057,"Yeah, we both can. And we both will.",neutral,neutral,['Calm']
1058,"Oh, you didnt have to come in with me.",neutral,neutral,['Calm']
1059,Are you kidding? This is where they get out stains! Okay? This is like,joy,positive,['Calm']
1061,"Oh, excuse me! I think you dropped s Wow!",surprise,positive,"['Urgency', 'Anxiety']"
1062,What?,surprise,positive,"['Urgency', 'Anxiety']"
1063,"Im sorry, its just that youre so incredibly beautiful.",surprise,positive,"['Urgency', 'Anxiety']"
1064,"Oh yeah well, Im sorry about that too, but what are you going to do?",neutral,neutral,['Calm']
1065,"I hope you dont think Im crazy but I feel like I was meant to pick this up, do you believe in that kind of thing?",joy,positive,['Calm']
1066,A little.   Now youre talking.,neutral,neutral,['Calm']
1067,Would you like to go out and have a cup of coffee?,neutral,neutral,['Calm']
1068,I-I-Id love to. Let me just tell my friend.,joy,positive,['Calm']
1069,"Ooh, an ink stain! Hey, can I watch how you get this out?",joy,positive,['Calm']
1070,She mustve left.,neutral,neutral,['Calm']
1071,Monica! Stop throwing it so hard! We're on the same team!,anger,negative,"['Aggression', 'Coercion']"
1072,Four hours? You guys have been doing this for four hours?,surprise,negative,"['Urgency', 'Anxiety']"
1073,That's right baby.,joy,positive,['Calm']
1074,"All right, let me in.",neutral,neutral,['Calm']
1075,No-no! Don't do it! Don't!,fear,negative,"['Fear', 'Panic', 'Anxiety']"
1076,What?,surprise,negative,"['Urgency', 'Anxiety']"
1077,He's a dropper!,anger,negative,"['Aggression', 'Coercion']"
1078,"Oh yeah, that's right!",anger,negative,"['Aggression', 'Coercion']"
1079,I'm not a dropper!,anger,negative,"['Aggression', 'Coercion']"
1080,"It's really a uh-uh three person game, y'know?",neutral,neutral,['Calm']
1081,It's throwing and catching!,anger,negative,"['Aggression', 'Coercion']"
1082,All right.,neutral,neutral,['Calm']
1083,Oh! Oh! That's so hard.,surprise,positive,"['Urgency', 'Anxiety']"
1084,"Whoa-whoa you guys, it's not a cat!",anger,negative,"['Aggression', 'Coercion']"
1085,Oh myOh good God!,surprise,negative,"['Urgency', 'Anxiety']"
1086,"I give up you guys, I don't know what I'm going to do with this thing!",anger,negative,"['Aggression', 'Coercion']"
1087,"Baking it didn't help, huh?",neutral,neutral,['Calm']
1088,"All right, well the place was closed. Ill just copy it later.",neutral,neutral,['Calm']
1089,"Or not. Uh, Rach, why dont you just move in with me?",neutral,neutral,['Calm']
1090,"Whoa! Whoa! Whoa, Joey!",surprise,positive,"['Urgency', 'Anxiety']"
1091,"No-no-no-no-no-no-no-no Its okay, I mean Ilook Rach, I know I scared you off with that whole Naked Thursdays thing, but we dont have to do that!",neutral,neutral,['Calm']
1092,"Well, it would be easier to move just right across the hall. Wait a minute, unless youre thinking about Naked Wednesdays.",neutral,neutral,['Calm']
1093,"Thursdays clearly not good for ya, pick a day!",joy,positive,['Calm']
1094,"So thats two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you.",joy,positive,['Calm']
1095,"Just admit it Chandler, you have no backhand.",neutral,neutral,['Calm']
1096,"Excuse me little one, I have a very solid backhand.",anger,negative,"['Aggression', 'Coercion']"
1097,Shielding your face and shrieking like a girl... is not a backhand.,disgust,negative,"['Aggression', 'Distress', 'Coercion']"
1098,I was shrieking... like a Marine.,neutral,neutral,['Calm']
1099,All right here. Watch me execute the three Ps of championship play. Power.  Precision.  and penache.,neutral,neutral,['Calm']
1100,She's not much of a phone person.,neutral,neutral,['Calm']
1101,"Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna know about it, you know?",neutral,neutral,['Calm']
1102,"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.",anger,negative,"['Aggression', 'Coercion']"
1103,"Ok, look, maybe I should just go.",neutral,neutral,['Calm']
1104,Maybe you should.,anger,negative,"['Aggression', 'Coercion']"
1105,"Good luck, and uh, take care, huh?",sadness,negative,"['Distress', 'Helplessness']"
1106,You know what the Celtics problem is? They let the players run the team.,neutral,neutral,['Calm']
1107,"Oh, that is so not true.",neutral,neutral,['Calm']
1108,"Oh, it is.",neutral,neutral,['Calm']
1109,It isn't.,neutral,neutral,['Calm']
1110,It is.,neutral,neutral,['Calm']
1111,Isn't!,anger,negative,"['Aggression', 'Coercion']"
1112,"Okay ladies, that ends todays class, and lets remember, lets be safe out there.",neutral,neutral,['Calm']
1113,Its a great class.,joy,positive,['Calm']
1114,Thanks.,neutral,neutral,['Calm']
1115,"Yeah, yeah, I was watching.",neutral,neutral,['Calm']
1116,"Umm, hey, a couple of questions though.",neutral,neutral,['Calm']
1117,"Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",fear,negative,"['Fear', 'Panic', 'Anxiety']"
